pattern,timestamp,minute_1_time,minute_2_time,minute_3_time,first_open,last_next_open,total_change,change_1,change_2,change_3,volume
NPP,2025-08-20 10:30:00,10:30:00,10:31:00,10:32:00,636.3500,636.6000,0.2500,-0.1700,0.1900,0.2300,636714.0
NPN,2025-08-20 10:33:00,10:33:00,10:34:00,10:35:00,636.6000,636.5000,-0.1000,-0.0026,0.1476,-0.2450,482860.0
NPP,2025-08-20 10:36:00,10:36:00,10:37:00,10:38:00,636.5000,636.6900,0.1900,-0.1600,0.3450,0.0050,451691.0
NPN,2025-08-20 10:39:00,10:39:00,10:40:00,10:41:00,636.6900,636.2600,-0.4300,-0.4300,0.1100,-0.1100,493510.0
PNN,2025-08-20 10:42:00,10:42:00,10:43:00,10:44:00,636.2600,636.2800,0.0200,0.4900,-0.3700,-0.1000,458640.0
PNP,2025-08-20 10:45:00,10:45:00,10:46:00,10:47:00,636.2800,636.3100,0.0300,0.1850,-0.2850,0.1300,340679.0
NNN,2025-08-20 10:48:00,10:48:00,10:49:00,10:50:00,636.3100,635.7900,-0.5200,-0.2800,-0.0200,-0.2200,499310.0
NNN,2025-08-20 10:51:00,10:51:00,10:52:00,10:53:00,635.7900,634.9800,-0.8100,-0.3000,-0.3100,-0.2000,436903.0
PPN,2025-08-20 10:54:00,10:54:00,10:55:00,10:56:00,634.9800,634.8400,-0.1400,0.1450,0.0750,-0.3600,440756.0
PPP,2025-08-20 10:57:00,10:57:00,10:58:00,10:59:00,634.8400,635.1400,0.3000,0.1350,0.1050,0.0600,324907.0
PPP,2025-08-20 11:00:00,11:00:00,11:01:00,11:02:00,635.1400,635.7000,0.5600,0.1600,0.2200,0.1800,441687.0
PNN,2025-08-20 11:03:00,11:03:00,11:04:00,11:05:00,635.7000,635.5300,-0.1700,0.0500,-0.0800,-0.1400,329748.0
PNP,2025-08-20 11:06:00,11:06:00,11:07:00,11:08:00,635.5300,635.6900,0.1600,0.0500,-0.0300,0.1400,263967.0
NPP,2025-08-20 11:09:00,11:09:00,11:10:00,11:11:00,635.6900,636.1800,0.4900,-0.0400,0.5000,0.0300,334444.0
NPP,2025-08-20 11:12:00,11:12:00,11:13:00,11:14:00,636.1800,636.3300,0.1500,-0.2100,0.1300,0.2300,323683.0
PNP,2025-08-20 11:15:00,11:15:00,11:16:00,11:17:00,636.3300,636.7700,0.4400,0.1001,-0.0201,0.3600,385091.0
NPP,2025-08-20 11:18:00,11:18:00,11:19:00,11:20:00,636.7700,637.0900,0.3200,-0.2100,0.1900,0.3400,531515.0
NNP,2025-08-20 11:21:00,11:21:00,11:22:00,11:23:00,637.0900,637.0200,-0.0700,-0.2000,-0.0650,0.1950,450807.0
NPP,2025-08-20 11:24:00,11:24:00,11:25:00,11:26:00,637.0200,637.3400,0.3200,-0.0200,0.0900,0.2500,422190.0
NPP,2025-08-20 11:27:00,11:27:00,11:28:00,11:29:00,637.3400,637.4250,0.0850,-0.1250,0.0850,0.1250,620096.0
NNN,2025-08-20 11:30:00,11:30:00,11:31:00,11:32:00,637.4250,637.0000,-0.4250,-0.2450,-0.0600,-0.1200,560649.0
NPP,2025-08-20 11:33:00,11:33:00,11:34:00,11:35:00,637.0000,637.0500,0.0500,-0.1100,0.1100,0.0500,251866.0
NPN,2025-08-20 11:36:00,11:36:00,11:37:00,11:38:00,637.0500,636.7950,-0.2550,-0.4200,0.1900,-0.0250,299156.0
PNN,2025-08-20 11:39:00,11:39:00,11:40:00,11:41:00,636.7950,636.6200,-0.1750,0.1200,-0.2350,-0.0600,228631.0
PPP,2025-08-20 11:42:00,11:42:00,11:43:00,11:44:00,636.6200,637.0100,0.3900,0.0300,0.1850,0.1750,359167.0
PPN,2025-08-20 11:45:00,11:45:00,11:46:00,11:47:00,637.0100,636.9400,-0.0700,0.0200,0.0500,-0.1400,234894.0
NPN,2025-08-20 11:48:00,11:48:00,11:49:00,11:50:00,636.9400,636.5300,-0.4100,-0.4300,0.1200,-0.1000,316791.0
PNP,2025-08-20 11:51:00,11:51:00,11:52:00,11:53:00,636.5300,636.5100,-0.0200,0.0700,-0.1400,0.0500,201330.0
PNN,2025-08-20 11:54:00,11:54:00,11:55:00,11:56:00,636.5100,636.1900,-0.3200,0.0700,-0.3000,-0.0900,717299.0
PNP,2025-08-20 11:57:00,11:57:00,11:58:00,11:59:00,636.1900,636.3100,0.1200,0.0200,-0.2508,0.3508,497905.0
PPP,2025-08-20 12:00:00,12:00:00,12:01:00,12:02:00,636.3100,636.7350,0.4250,0.1100,0.0200,0.2950,325971.0
PPN,2025-08-20 12:03:00,12:03:00,12:04:00,12:05:00,636.7350,636.6500,-0.0850,0.0450,0.0600,-0.1900,224778.0
NPP,2025-08-20 12:06:00,12:06:00,12:07:00,12:08:00,636.6500,637.1100,0.4600,-0.0800,0.0700,0.4700,194713.0
NNP,2025-08-20 12:09:00,12:09:00,12:10:00,12:11:00,637.1100,636.9950,-0.1150,-0.0450,-0.1850,0.1150,238445.0
NNN,2025-08-20 12:12:00,12:12:00,12:13:00,12:14:00,636.9950,636.5000,-0.4950,-0.3250,-0.1400,-0.0300,188920.0
PPN,2025-08-20 12:15:00,12:15:00,12:16:00,12:17:00,636.5000,636.3000,-0.2000,0.1600,0.1600,-0.5200,173737.0
PPP,2025-08-20 12:18:00,12:18:00,12:19:00,12:20:00,636.3000,637.1100,0.8100,0.5100,0.0499,0.2501,294675.0
NNN,2025-08-20 12:21:00,12:21:00,12:22:00,12:23:00,637.1100,636.5300,-0.5800,-0.0400,-0.2000,-0.3400,220603.0
NNN,2025-08-20 12:24:00,12:24:00,12:25:00,12:26:00,636.5300,636.4400,-0.0900,-0.0100,-0.0500,-0.0300,186429.0
NPN,2025-08-20 12:27:00,12:27:00,12:28:00,12:29:00,636.4400,636.5600,0.1200,-0.1200,0.3200,-0.0800,224420.0
PPP,2025-08-20 12:30:00,12:30:00,12:31:00,12:32:00,636.5600,637.3100,0.7500,0.2000,0.2800,0.2700,299068.0
PPP,2025-08-20 12:33:00,12:33:00,12:34:00,12:35:00,637.3100,637.5200,0.2100,0.1400,0.0300,0.0400,250894.0
NNP,2025-08-20 12:36:00,12:36:00,12:37:00,12:38:00,637.5200,637.3600,-0.1600,-0.0300,-0.1900,0.0600,296914.0
